title,price_now,price_orig,discount_pct,shipping,rating,image_url,product_url,price,original_price,brand,rating_num
adidas men Adizero Boston 12 Shoes,$60.00,,,,,https://i.ebayimg.com/images/g/RZYAAeSwUqdoaVQl/s-l500.webp,https://www.ebay.com/itm/157141484066?_skw=shoes&itmmeta=01JZEVKH0X6BZ9VHGN1WW4T9QH&hash=item24965cc222:g:RZYAAeSwUqdoaVQl&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1c6bCDrwiV3TdiaW%2BlVRyyFzo972HlFbRPf0lN8UfNfxD86SyAJRY%2FS9c5gvxxyXRTNq%2B%2BnynNIgdvtiEZPYuYZ%2BzER2z7OlhfG16cwt6Tr%2B1MBMcT9wjZb6S8Qoug3BarFL34DJm2wRgepS%2Fh%2BHh%2B1ltDkfRtW3xsjebhI%2BedrXd6HCn2fvLozUsGI%2BM1IUa%2FdAJ8qIoCOril1h5mQq0ykFrt1topHIuSubDBXyJzzEU3kBIhxaBMELX29jD%2FGV0lCNJbVHdy4%2B4n%2BrRL5z5iL%7Ctkp%3ABFBM-pDO2_tl,60.0,,adidas,
adidas men 3MC Vulc Shoes,$26.00,,,,,https://i.ebayimg.com/images/g/qDgAAeSwgzVoZqcJ/s-l500.webp,https://www.ebay.com/itm/156635050661?_skw=shoes&itmmeta=01JZEVKH0X8S6GT78VXBEZF6T5&hash=item24782d32a5:g:qDgAAeSwgzVoZqcJ&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1fOlNytD5KsJWeGZp7G1hbRc8WS%2BAnriZml2HivFRGH4bRUAw1KR0hRffQ%2BYCuvv9kKohcFtnENqk0%2BXbDwDdupOY6rNztqLryzaHoYaG6%2FHAIQUeeDde%2Borfs95%2Fvl951PcmzF5WzlylUwmY1EW78LLt5lSp9lRN2UPM7kvxMlvW5kEXSmfeT7rwfFhHr4HM3Ve1e6P2HxhpGjy%2FvSdPQgiJETZsZdHshqX61MCi1ZxaoJcv0wl2btYkBmiHnAjaQ3c21aYmpNNrKKFlqENruc%7Ctkp%3ABFBM-pDO2_tl,26.0,,adidas,
adidas men Zponge Shoes,$46.00,,,,,https://i.ebayimg.com/images/g/CYsAAeSw2pZoZefN/s-l500.webp,https://www.ebay.com/itm/157143426288?_skw=shoes&itmmeta=01JZEVKH0XE6EP4QFFABVGS24K&hash=item24967a64f0:g:CYsAAeSw2pZoZefN&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1f330niCkmvkXu5jMEDyCTDLJjVEM1bBuAG74DyasxUmyVsMdG%2BuUkjGHGQLPrXVtSVmYOcKNq%2B%2Bdv5GxntKX3OnLhrp39L%2Fya395hAo76KL%2FPQFk5cTJCGZFAV9KBBdWUGG2Coib0mxb%2F6L1t6bYxRiRLftx15QcsBpBgSXJ%2FSEkIhea64dQVwLDOn9mLfRDPIe34TF%2Foi5uTDQ6G0hjIFSlImpuGVXbIQEOL1EKAgaQjrAQ%2FAJOnx5tfuoL5W%2BvVFWCUNGxGXkIUe1AlsxcYU%7Ctkp%3ABFBM-pDO2_tl,46.0,,adidas,
adidas women Break Start Mid Shoes,$20.00,,73.0,Free delivery,,https://i.ebayimg.com/images/g/hxkAAeSwezFoZquv/s-l500.webp,https://www.ebay.com/itm/156973878878?_skw=shoes&itmmeta=01JZEVKH085WBDG6K1CNM2D9T4&hash=item248c5f4e5e:g:hxkAAeSwezFoZquv&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1f0n6bzNGv%2Fzgj28xY0RaDXFur4Rf89xj7zIFnHwYURiBfx9RMun7bEobth8kCq7ETtueftSUz0t4kXVT%2FLxu7sHID%2FR0Br1uuE77a5%2BBc9%2BII6jEiThqmxrrbzpBDknPdJs%2BqjLVamajKEDmxGybU%2FoasOmdipoM6TiEnAqL6N9kVyiSH%2FyjoG5L1ObMIf1yZ03r4g7CxAKQqJYoHdYFZqniPZqPTGDT1UWYtCnLQZzw%3D%3D%7Ctkp%3ABk9SR7yQztv7ZQ,20.0,,adidas,
adidas men adidas BRMD Shoes,$33.00,,70.0,Free delivery,,https://i.ebayimg.com/images/g/NHQAAeSwAmRoSOJn/s-l500.webp,https://www.ebay.com/itm/157083845999?_skw=shoes&itmmeta=01JZEVKH08GT8VKN04T432426A&hash=item2492ed456f:g:NHQAAeSwAmRoSOJn&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cfAQ%2BN6rRe8bBXUK2y82TE%2BPUOsDfhVMxhEEyPFMSfcufPJoL2pR2dEUJwzlcbNm4K4PBJ6vNA2lQkYbNhQByloBCPB5dHgXWfn3zDcUDQ6%2Bvcim1cL6EEm9arloZPmDBrlVNytgl04b1KwG0D%2BeTJdeu6%2FkGAtwa62yX2pHgW8A62JhS%2FnA8NnBQymPr3N6MrabXQxk5BS1ptypteKMLmt2Ee%2F%2BrHYKdfUQ%2BtBaMuGYTHCIhjGOzLrmQMUOzXtY1%2FPbvp8CSa4aWvRpZzT0W3%7Ctkp%3ABk9SR7yQztv7ZQ,33.0,,adidas,
Grateful Dead Crocs Clogs (Men's Size 6 / Womens Size 7) - Chinatown Market,$59.99,,40.0,+$12.99 delivery,,https://i.ebayimg.com/images/g/xUEAAOSw9uFnYvdg/s-l500.webp,https://www.ebay.com/itm/326375893922?_skw=shoes&itmmeta=01JZEVKH089NCZHRTNDYYRZ0QK&hash=item4bfd84eba2:g:xUEAAOSw9uFnYvdg&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1cE1YcA7%2B21o6%2B%2Bc2YDnz1%2FdjxfHKJKW7sVnIVnI5lf7UokaY5UDP3dqjjgRKXjHhOYR8urnTAMl%2B1a2GzbwJ6aJ2fhPAt3Pb73UUHdlCZNpsU%2FzhNjQ8kVJq7%2BR3BAl7j%2FooyMW8g3gqBenh5oZkv1YU6C0V9StTzDAY94%2B7qrK7uZ8kYHTJu1IC9P38Pl8FILekorzZh0QfrMk6ltfesDHtipq7c8rzV898SNtSk6uQ%3D%3D%7Ctkp%3ABlBMULyQztv7ZQ,59.99,,grateful,
Men's The North Face VECTIV Escape Knit Trail Running Shoes Flax/TNF Black,$100.00,,,+$10.00 delivery,,https://i.ebayimg.com/images/g/FfoAAOSwtitoLfqf/s-l500.webp,https://www.ebay.com/itm/187242353812?_skw=shoes&itmmeta=01JZEVKH087920330VNEJZ7T72&hash=item2b98839494:g:FfoAAOSwtitoLfqf&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fqBRmx%2BQx76faepzvxMTk904Y%2BDL7mMLHBMTK889iNEw%2FtSvMqdy3gPkJcDGyH3xN5tHDJq%2FwTyiPlVP1z949Jaf%2FgqjrOs5WuzA%2BNKE2tmPxSJScenX1j8IJyt8fT6zgSB2HtVBTBTy3Yiro%2Ff7xyFiUKVAnrNtK1jJpcnS30Xt%2FEVcvyDGHohzvJFxnBuykt04%2B%2FqtMytxGxId7HTi29rpyxLSycSJBVXREOTUcvmg%3D%3D%7Ctkp%3ABlBMULyQztv7ZQ,100.0,,men's,
emporio armani sneakers men,$220.00,,,Freight,,https://i.ebayimg.com/images/g/6ggAAOSwcedn3sNF/s-l500.webp,https://www.ebay.com/itm/205370838915?_skw=shoes&itmmeta=01JZEVKH08ASA66YZAZZYE50C4&hash=item2fd10e4f83:g:6ggAAOSwcedn3sNF&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1f%2BmtjTS5YAeI5CzrmdltUawmwYt99b%2BmZb6E14L6qo%2BDXYqZCJZAJ9%2Bt8qhv83UlfKJwT7KJh8dIaMiMFrps%2FZyB7jsLGEprgAO5HoWGA1zBpIEU%2B26aQdLeWiYEmD9p9EJ4EZtQRuGLnOkoNAfaN8N%2BHSA83%2Bp4XGDGaXucjUtsl9gJnmarFOja%2Fr1VZTtOVJBtjp%2FLaPvqV9%2FcQADoJWcRjGSJ3VC9aUYx%2BJ6ZrQWA%3D%3D%7Ctkp%3ABlBMULyQztv7ZQ,220.0,,emporio,
adidas men Adizero Aruku Shoes,$41.00 to $49.00,,71.0,Free delivery,,https://i.ebayimg.com/images/g/qEkAAeSwKO1oZVqb/s-l500.webp,https://www.ebay.com/itm/156995370476?_skw=shoes&epid=21078364468&itmmeta=01JZEVKH081CESXQZRKBB3QFDC&hash=item248da73dec:g:qEkAAeSwKO1oZVqb&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1eX85jWi0%2BNeUJM3lDDCBZXkiMGETtFmi0eSCJd85pPVd02r05LEfD2%2B%2FdpjWoxhLkDPp3GWE9SrwgzPXiG7%2FyPXKJ5YeAiYBDakjcGr%2BV8sCaaKn0WeAgkvqt3zS3I4Qs4eEAvDJTG6yemjLO0JUSMXLM07tnLOo4bQaoSVdSdjaXr%2FAEIARqsWYppbZeqwth8hBscD50kmHIsgH%2Fq%2BYPfEmKaPQP38Un69lTiEavybLktaco5Xs3wfXyLN2XZmWI2ddEeLPIvrQkRy5aUosdS%7Ctkp%3ABk9SR7yQztv7ZQ,41.0,,adidas,
adidas women Adizero Aruku Shoes,$46.00 to $56.00,,67.0,Free delivery,,https://i.ebayimg.com/images/g/nxIAAeSwWJdoJ7sF/s-l500.webp,https://www.ebay.com/itm/156995370211?_skw=shoes&itmmeta=01JZEVKH08369G0F7CWW1QD2B6&hash=item248da73ce3:g:nxIAAeSwWJdoJ7sF&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1cqDDebJOhGRY5bSUFb0tBJZcBTef5NVPIM9kkELuKKycjvXUTMENcI8G6BdRXRo2pIKA1FHjheHwTFhxLEFaVNh1wX0iojPnbpUeIEYiu5klX6z8SiJfrZd1t5vQJE8hdAdL3b45fLHbLuKBu9qr9bu2DACwBJJonZYuAdx5I%2FtwEiihODjW1B2AI2cXBZiUZbPG4p80R27h6Nek7j1iNi4jAUhMGWWXVyWPXJYq66bA%3D%3D%7Ctkp%3ABk9SR7yQztv7ZQ,46.0,,adidas,
